Title,Artist
A Change Is Gonna Come,Sam Cooke
A Day in the Life,The Beatles
A Hard Day’s Night,The Beatles
A Pirate Looks at Forty,Jimmy Buffett
A Well Respected Man,The Kinks
About A Girl,Nirvana
Ain't No Mountain High Enough,Marvin Gaye and Tammi Terrell
"""Air On The G String"" (Suite No. 3 in D major, 2nd mvt)",Johann Sebastian Bach
All I Am,Jess Glynne
All I Have To Do Is Dream,The Everly Brothers
All I Wanna Do,The Beach Boys
All My Loving,The Beatles
All of Me,John Legend
All of Me,(Jazz Standard) Billie Holiday
All Shook Up,Elvis Presley
All The Things You Are,(Jazz Standard) Ella Fitzgerald
Almost Like Being In Love,(Jazz Standard) Nat King Cole
Always Be My Baby,Mariah Carey
America,Simon & Garfunkel
American Girl,Tom Petty & The Heartbreakers
American Pie,Don McLean
And I Love Her,The Beatles
Angel Dream,Tom Petty and the Heartbreakers
Ants Marching,Dave Matthews Band
Baby I Love Your Way,Peter Frampton
Baby One More Time,Britney Spears
Back in Black,AC/DC
Bang A Gong (Get It On),T. Rex
Beast Of Burden,The Rolling Stones
Bennie & The Jets,Elton John
Better Together,Jack Johnson
Beyond,Leon Bridges
Billie Jean,Michael Jackson
Black Hole Sun,Soundgarden
Blowin' in the Wind,Bob Dylan
Blue Skies,(Jazz Standard) Ella Fitzgerald
Both Sides Now,Joni Mitchell
Brick,Ben Folds Five
Bring It On Home,Sam Cooke
Brown Eyed Girl,Van Morrison
Build Me Up Buttercup,The Foundations
California Dreamin',The Mamas & The Papas
Canon in D,Johann Pachelbel
Can't Help Falling in Love,Elvis Presley
Can't Take My Eyes Off You,Frankie Valli (or Lauryn Hill)
Careless Whisper,George Michael
Carolina in My Mind,James Taylor
Cat's in the Cradle,Harry Chapin
Chandelier,Sia
Chasing Cars,Snow Patrol
Closing Time,Semisonic
Colder Weather,Zac Brown Band
Come Fly With Me,(Jazz Standard) Frank Sinatra
Come Over,Kenny Chesney
Con Te Partirò,Andrea Bocelli
Could You Be Loved,Bob Marley & The Wailers
Crazy Little Thing Called Love,Queen
Crazy Love,Van Morrison
Cruisin',Smokey Robinson
Cupid,Sam Cooke
Dancing in the Dark,Bruce Springsteen
Dani California,Red Hot Chili Peppers
Darkness on the Edge of Town,Bruce Springsteen
Days Like This,Van Morrison
Deck the Halls,Traditional Christmas Carol
Desperado,Eagles
Dig a Pony,The Beatles
Don't Ask Me Why,Billy Joel
Don't Let Me Be Misunderstood,The Animals
Don't Speak,No Doubt
Don't You Want Me,The Human League
Down On The Corner,Creedence Clearwater Revival
Dreams,The Cranberries
Drive,The Cars
Enjoy The Silence,Depeche Mode
Everlong,Foo Fighters
Everybody Wants To Rule The World,Tears For Fears
(Everything I Do) I Do It For You,Bryan Adams
Ex's & Oh's,Elle King
Express Yourself,Charles Wright & the Watts 103rd Street Rhythm Band
Feeling Good,Nina Simone
Flagpole Sitta,Harvey Danger
Flowers Never Bend With The Rainfall,Simon & Garfunkel
Fly Me To The Moon,(Jazz Standard) Frank Sinatra
Fortunate Son,Creedence Clearwater Revival
Free Fallin',Tom Petty
Georgia On My Mind,(Jazz Standard) Ray Charles
Getting Better,The Beatles
Given To Fly,Pearl Jam
Go Your Own Way,Fleetwood Mac
Going To California,Led Zeppelin
Good Times,Sam Cooke
Good Vibrations,The Beach Boys
Got My Mind Set On You,George Harrison
Guiding Light,Mumford & Sons
Happy Birthday,Stevie Wonder
Harvest Moon,Neil Young
Hava Nagila,(Traditional)
Help Me Rhonda,The Beach Boys
Here Comes The Sun,The Beatles
Heroes,David Bowie
Hey Bulldog,The Beatles
Hey Jude,The Beatles
Hey Ya!,OutKast
Higher Love,Steve Winwood
Home,Edward Sharpe & The Magnetic Zeros
Hotline Bling,Drake
Hound Dog,Elvis Presley
How Sweet It Is (To Be Loved by You),Marvin Gaye
I Heard It Through The Grapevine,Marvin Gaye
I Wanna Dance with Somebody (Who Loves Me),Whitney Houston
I Want You,Savage Garden
I Want You Back,The Jackson 5
I Will,The Beatles
I Will Wait,Mumford & Sons
If We Were Words (We Would Rhyme),Gruff Rhys
I'll Be,Edwin McCain
I'll Be Back,The Beatles
I'll Be Your Baby Tonight,Bob Dylan
I'm A Believer,The Monkees
I'm Gonna Be (500 Miles),The Proclaimers
I'm Looking Through You,The Beatles
I'm On Fire,Bruce Springsteen
I'm Waiting For The Man,The Velvet Underground
Imagine,John Lennon
In Dreams,Roy Orbison
In My Life,The Beatles
In Your Eyes,Peter Gabriel
Interstate Love Song,Stone Temple Pilots
Into the Great Wide Open,Tom Petty & The Heartbreakers
Into The Mystic,Van Morrison
Ironic,Alanis Morissette
It Must Have Been The Roses,Grateful Dead
It Won't Be Long,The Beatles
It's Alright,Curtis Mayfield & The Impressions
It's Gonna Be Me,NSYNC
It's Only a Paper Moon,(Jazz Standard) Ella Fitzgerald
I've Just Seen A Face,The Beatles
Jealous,Labrinth
"Jesu, Joy of Man's Desiring (Prelude from Cantata BWV 147)",Johann Sebastian Bach
Jet,Paul McCartney and Wings
Jingle Bells,Traditional Christmas Carol
Jumpin' Jack Flash,The Rolling Stones
Just The Two Of Us,Bill Withers
Just the Way You Are,Billy Joel
Just the Way You Are,Bruno Mars
Just What I Needed,The Cars
